"module name","license","repository"
"@types/cookies@0.7.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cors@2.8.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express-serve-static-core@4.17.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express@4.17.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/fs-capacitor@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/graphql-upload@8.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hoist-non-react-statics@3.3.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-assert@1.5.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-cache-semantics@4.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-errors@1.8.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/invariant@2.2.31","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/keygrip@1.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/keyv@3.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa-compose@3.2.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa@2.11.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/long@4.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/long@4.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mime@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/minimist@1.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-fetch@2.5.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@10.17.39","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@12.12.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@13.13.44","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@14.14.30","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/normalize-package-data@2.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/qs@6.9.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/range-parser@1.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-redux@7.1.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@16.9.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/responselike@1.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/serve-static@1.13.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/shallowequal@1.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ws@7.2.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/zen-observable@0.8.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@webassemblyjs/ast@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.9.0","MIT",""
"@webassemblyjs/helper-buffer@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-code-frame@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-fsm@1.9.0","ISC",""
"@webassemblyjs/helper-module-context@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.9.0","MIT",""
"@webassemblyjs/leb128@1.9.0","MIT",""
"@webassemblyjs/utf8@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-parser@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.9.0","MIT","https://github.com/xtuc/webassemblyjs"
"@welldone-software/why-did-you-render@4.3.0","MIT","https://github.com/welldone-software/why-did-you-render"
"@wry/context@0.4.4","MIT","https://github.com/benjamn/wryware"
"@wry/context@0.5.2","MIT","https://github.com/benjamn/wryware"
"@wry/equality@0.1.9","MIT","https://github.com/benjamn/wryware"
"@wry/equality@0.2.0","MIT","https://github.com/benjamn/wryware"
"@xtuc/ieee754@1.2.0","BSD-3-Clause","https://github.com/feross/ieee754"
"@xtuc/long@4.2.2","Apache-2.0","https://github.com/dcodeIO/long.js"
"JSONStream@1.3.5","(MIT OR Apache-2.0)","https://github.com/dominictarr/JSONStream"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"abort-controller@3.0.0","MIT","https://github.com/mysticatea/abort-controller"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"acorn@6.4.2","MIT","https://github.com/acornjs/acorn"
"add-stream@1.0.0","MIT","https://github.com/wilsonjackson/add-stream"
"adler-32@1.2.0","Apache-2.0","https://github.com/SheetJS/js-adler32"
"after@0.8.2","MIT","https://github.com/Raynos/after"
"agent-base@6.0.0","MIT","https://github.com/TooTallNate/node-agent-base"
"airbnb-prop-types@2.15.0","MIT","https://github.com/airbnb/prop-types"
"ajv-errors@1.0.1","MIT","https://github.com/epoberezkin/ajv-errors"
"ajv-keywords@3.4.1","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@6.10.2","MIT","https://github.com/epoberezkin/ajv"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@5.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.2.1","MIT","https://github.com/chalk/ansi-styles"
"anymatch@2.0.0","ISC","https://github.com/micromatch/anymatch"
"anymatch@3.1.1","ISC","https://github.com/micromatch/anymatch"
"apollo-cache-control@0.11.3","MIT","https://github.com/apollographql/apollo-cache-control-js"
"apollo-cache-inmemory@1.6.6","MIT","https://github.com/apollographql/apollo-client"
"apollo-cache@1.3.5","MIT","https://github.com/apollographql/apollo-client"
"apollo-client@2.6.10","MIT","https://github.com/apollographql/apollo-client"
"apollo-datasource@0.7.2","MIT","https://github.com/apollographql/apollo-server"
"apollo-env@0.6.5","MIT","https://github.com/apollographql/apollo-tooling"
"apollo-graphql@0.6.0","MIT",""
"apollo-link-ddp@2.2.0","MIT","https://github.com/Swydo/ddp-apollo"
"apollo-link-error@1.1.12","MIT","https://github.com/apollographql/apollo-link"
"apollo-link-http-common@0.2.15","MIT","https://github.com/apollographql/apollo-link"
"apollo-link-http-common@0.2.16","MIT","https://github.com/apollographql/apollo-link"
"apollo-link-http@1.5.17","MIT","https://github.com/apollographql/apollo-link"
"apollo-link-ws@1.0.19","MIT","https://github.com/apollographql/apollo-link"
"apollo-link@1.2.14","MIT","https://github.com/apollographql/apollo-link"
"apollo-reporting-protobuf@0.6.0","MIT","https://github.com/apollographql/apollo-server"
"apollo-server-caching@0.5.2","MIT","https://github.com/apollographql/apollo-server"
"apollo-server-core@2.18.2","MIT","https://github.com/apollographql/apollo-server"
"apollo-server-env@2.4.5","MIT","https://github.com/apollographql/apollo-server"
"apollo-server-errors@2.4.2","MIT","https://github.com/apollographql/apollo-server"
"apollo-server-express@2.18.2","MIT","https://github.com/apollographql/apollo-server"
"apollo-server-plugin-base@0.10.1","MIT",""
"apollo-server-types@0.6.0","MIT",""
"apollo-tracing@0.11.4","MIT","https://github.com/apollographql/apollo-tracing-js"
"apollo-upload-client@14.1.2","MIT","https://github.com/jaydenseric/apollo-upload-client"
"apollo-utilities@1.3.2","MIT","https://github.com/apollographql/apollo-client"
"apollo-utilities@1.3.4","MIT","https://github.com/apollographql/apollo-client"
"aproba@1.2.0","ISC","https://github.com/iarna/aproba"
"are-we-there-yet@1.1.5","ISC","https://github.com/iarna/are-we-there-yet"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"array-ify@1.0.0","MIT","https://github.com/stevemao/array-ify"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"array.prototype.find@2.1.0","MIT","https://github.com/paulmillr/Array.prototype.find"
"array.prototype.flat@1.2.2","MIT","https://github.com/es-shims/Array.prototype.flat"
"arraybuffer.slice@0.0.7","MIT","https://github.com/rase-/arraybuffer.slice"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"arrify@2.0.1","MIT","https://github.com/sindresorhus/arrify"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asn1.js@4.10.1","MIT","https://github.com/indutny/asn1.js"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert"
"assert@1.5.0","MIT","https://github.com/browserify/commonjs-assert"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"async-each@1.0.3","MIT","https://github.com/paulmillr/async-each"
"async-limiter@1.0.1","MIT","https://github.com/strml/async-limiter"
"async-listener@0.6.10","BSD-2-Clause","https://github.com/othiym23/async-listener"
"async-retry@1.3.1","MIT","https://github.com/zeit/async-retry"
"async@2.6.3","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"autosize@4.0.2","MIT","https://github.com/jackmoore/autosize"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.8.0","MIT","https://github.com/mhart/aws4"
"axios-retry@3.1.2","Apache-2.0","https://github.com/softonic/axios-retry"
"axios@0.21.1","MIT","https://github.com/axios/axios"
"babel-runtime@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"backo2@1.0.2","MIT","https://github.com/mokesmokes/backo"
"bail@1.0.5","MIT","https://github.com/wooorm/bail"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"base16@1.0.0","MIT","https://github.com/gaearon/base16-js"
"base64-arraybuffer@0.1.4","MIT","https://github.com/niklasvh/base64-arraybuffer"
"base64-js@1.3.0","MIT","https://github.com/beatgammit/base64-js"
"base64-js@1.3.1","MIT","https://github.com/beatgammit/base64-js"
"base64id@2.0.0","MIT","https://github.com/faeldt/base64id"
"base@0.11.2","MIT","https://github.com/node-base/base"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
"big.js@3.2.0","MIT","https://github.com/MikeMcl/big.js"
"big.js@5.2.2","MIT","https://github.com/MikeMcl/big.js"
"bignumber.js@9.0.1","MIT","https://github.com/MikeMcl/bignumber.js"
"binary-extensions@1.13.1","MIT","https://github.com/sindresorhus/binary-extensions"
"binary-extensions@2.2.0","MIT","https://github.com/sindresorhus/binary-extensions"
"bindings@1.5.0","MIT","https://github.com/TooTallNate/node-bindings"
"bl@1.2.3","MIT","https://github.com/rvagg/bl"
"bl@2.2.1","MIT","https://github.com/rvagg/bl"
"blob@0.0.5","MIT","https://github.com/webmodules/blob"
"bluebird@3.5.1","MIT","https://github.com/petkaantonov/bluebird"
"bluebird@3.7.1","MIT","https://github.com/petkaantonov/bluebird"
"bn.js@4.11.8","MIT","https://github.com/indutny/bn.js"
"body-parser@1.19.0","MIT","https://github.com/expressjs/body-parser"
"boolbase@1.0.0","ISC","https://github.com/fb55/boolbase"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"brace@0.11.1","MIT","https://github.com/thlorenz/brace"
"braces@2.3.2","MIT","https://github.com/micromatch/braces"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"brcast@2.0.2","MIT","https://github.com/vesparny/brcast"
"brorand@1.1.0","MIT","https://github.com/indutny/brorand"
"browserify-aes@1.2.0","MIT","https://github.com/crypto-browserify/browserify-aes"
"browserify-cipher@1.0.1","MIT","https://github.com/crypto-browserify/browserify-cipher"
"browserify-des@1.0.2","MIT","https://github.com/crypto-browserify/browserify-des"
"browserify-rsa@4.0.1","MIT","https://github.com/crypto-browserify/browserify-rsa"
"browserify-sign@4.0.4","ISC","https://github.com/crypto-browserify/browserify-sign"
"browserify-zlib@0.2.0","MIT","https://github.com/devongovett/browserify-zlib"
"bson@1.1.3","Apache-2.0","https://github.com/mongodb/js-bson"
"buffer-alloc-unsafe@1.1.0","MIT","https://github.com/LinusU/buffer-alloc-unsafe"
"buffer-alloc@1.2.0","MIT","https://github.com/LinusU/buffer-alloc"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-fill@1.0.0","MIT","https://github.com/LinusU/buffer-fill"
"buffer-from@1.1.1","MIT","https://github.com/LinusU/buffer-from"
"buffer-xor@1.0.3","MIT","https://github.com/crypto-browserify/buffer-xor"
"buffer@4.9.1","MIT","https://github.com/feross/buffer"
"buffer@5.2.1","MIT","https://github.com/feross/buffer"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"builtin-status-codes@3.0.0","MIT","https://github.com/bendrucker/builtin-status-codes"
"busboy@0.3.1","MIT","https://github.com/mscdex/busboy"
"bytes@3.1.0","MIT","https://github.com/visionmedia/bytes.js"
"cacache@12.0.3","ISC","https://github.com/npm/cacache"
"cache-base@1.0.1","MIT","https://github.com/jonschlinkert/cache-base"
"cacheable-lookup@2.0.1","MIT","https://github.com/szmarczak/cacheable-lookup"
"cacheable-request@7.0.1","MIT","https://github.com/lukechilds/cacheable-request"
"camel-case@3.0.0","MIT","https://github.com/blakeembrey/camel-case"
"camel-case@4.1.1","MIT","https://github.com/blakeembrey/change-case"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase-keys@4.2.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase-keys@6.2.2","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"cfb@1.2.0","Apache-2.0","https://github.com/SheetJS/js-cfb"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"change-emitter@0.1.6","MIT","https://github.com/acdlite/change-emitter"
"character-entities-legacy@1.1.3","MIT","https://github.com/wooorm/character-entities-legacy"
"character-entities@1.2.3","MIT","https://github.com/wooorm/character-entities"
"character-reference-invalid@1.1.3","MIT","https://github.com/wooorm/character-reference-invalid"
"charenc@0.0.2","BSD-3-Clause","https://github.com/pvorb/node-charenc"
"chart.js@2.9.4","MIT","https://github.com/chartjs/Chart.js"
"chartjs-color-string@0.6.0","MIT","https://github.com/chartjs/chartjs-color-string"
"chartjs-color@2.4.1","MIT","https://github.com/chartjs/chartjs-color"
"chokidar@2.1.8","MIT","https://github.com/paulmillr/chokidar"
"chokidar@3.5.1","MIT","https://github.com/paulmillr/chokidar"
"chownr@1.1.1","ISC","https://github.com/isaacs/chownr"
"chownr@1.1.3","ISC","https://github.com/isaacs/chownr"
"chrome-trace-event@1.0.2","MIT","github.com:samccone/chrome-trace-event"
"cipher-base@1.0.4","MIT","https://github.com/crypto-browserify/cipher-base"
"clai-admin@1.0.5","Apache-2.0","https://github.com/Pemari-Technology/clai-admin"
"clai-webchat@1.0.0","Apache-2.0","git@https://github.com/Pemari-Technology/clai-webchat"
"class-utils@0.3.6","MIT","https://github.com/jonschlinkert/class-utils"
"classcat@4.1.0","MIT","https://github.com/jorgebucaran/classcat"
"classnames@2.2.6","MIT","https://github.com/JedWatson/classnames"
"clean-css@4.2.3","MIT","https://github.com/jakubpawlowicz/clean-css"
"clipboard@2.0.4","MIT","https://github.com/zenorocha/clipboard.js"
"cliui@6.0.0","ISC","https://github.com/yargs/cliui"
"clone-response@1.0.2","MIT","https://github.com/lukechilds/clone-response"
"clone@2.1.2","MIT","https://github.com/pvorb/node-clone"
"code-point-at@1.1.0","MIT","https://github.com/sindresorhus/code-point-at"
"codepage@1.14.0","Apache-2.0","https://github.com/SheetJS/js-codepage"
"collapse-white-space@1.0.6","MIT","https://github.com/wooorm/collapse-white-space"
"collection-visit@1.0.0","MIT","https://github.com/jonschlinkert/collection-visit"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"color-string@1.5.3","MIT","https://github.com/Qix-/color-string"
"color@3.0.0","MIT","https://github.com/Qix-/color"
"colornames@1.1.1","MIT","https://github.com/timoxley/colornames"
"colors@1.4.0","MIT","https://github.com/Marak/colors.js"
"colorspace@1.1.2","MIT","https://github.com/3rd-Eden/colorspace"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"comma-separated-tokens@1.0.7","MIT","https://github.com/wooorm/comma-separated-tokens"
"commander@2.14.1","MIT","https://github.com/tj/commander.js"
"commander@2.17.1","MIT","https://github.com/tj/commander.js"
"commander@2.19.0","MIT","https://github.com/tj/commander.js"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"commondir@1.0.1","MIT","https://github.com/substack/node-commondir"
"compare-func@2.0.0","MIT","https://github.com/stevemao/compare-func"
"component-bind@1.0.0","MIT*","https://github.com/component/bind"
"component-emitter@1.2.1","MIT","https://github.com/component/emitter"
"component-emitter@1.3.0","MIT","https://github.com/component/emitter"
"component-inherit@0.0.3","MIT*","https://github.com/component/inherit"
"computed-style@0.1.4","MIT","https://github.com/twolfson/computedStyle"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
"concat-stream@2.0.0","MIT","https://github.com/maxogden/concat-stream"
"config@1.31.0","MIT","https://github.com/lorenwest/node-config"
"console-browserify@1.1.0","MIT","https://github.com/Raynos/console-browserify"
"console-browserify@1.2.0","MIT","https://github.com/browserify/console-browserify"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings"
"consolidated-events@2.0.2","MIT","https://github.com/lencioni/consolidated-events"
"constants-browserify@1.0.0","MIT","https://github.com/juliangruber/constants-browserify"
"content-disposition@0.5.3","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type"
"continuation-local-storage@3.2.1","BSD-2-Clause","https://github.com/othiym23/node-continuation-local-storage"
"conventional-changelog-angular@5.0.11","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-atom@2.0.7","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-codemirror@2.0.7","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-config-spec@2.1.0","MIT","https://github.com/conventional-changelog/conventional-changelog-config-spec"
"conventional-changelog-conventionalcommits@4.4.0","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-core@4.2.0","MIT","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-ember@2.0.8","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-eslint@3.0.8","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-express@2.0.5","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-jquery@3.0.10","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-jshint@2.0.8","ISC","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-preset-loader@2.3.4","MIT","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog-writer@4.0.17","MIT","https://github.com/conventional-changelog/conventional-changelog"
"conventional-changelog@3.1.23","MIT","https://github.com/conventional-changelog/conventional-changelog"
"conventional-commits-filter@2.0.6","MIT","https://github.com/conventional-changelog/conventional-changelog"
"conventional-commits-parser@3.1.0","MIT","https://github.com/conventional-changelog/conventional-changelog"
"conventional-recommended-bump@6.0.10","MIT","https://github.com/conventional-changelog/conventional-changelog"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.4.0","MIT","https://github.com/jshttp/cookie"
"cookie@0.4.1","MIT","https://github.com/jshttp/cookie"
